title,agency,location,product_category,estimated_value,bid_deadline,description,website_url,contact_name,contact_email,contact_phone,is_quick_win,status,posted_date
Connecticut Port Authority - Janitorial Supply Contract,Connecticut Port Authority,"Hartford, CT",Port,"$500,000 - $1,800,000",02/03/2026,"Connecticut port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.connecticutport.com,Facilities Director,facilities@connecticutport.com,(CT) Port Operations,true,open,11/05/2025
Connecticut Senior Living & Care - Janitorial Supply Contract,Connecticut Senior Living & Care,"Hartford, CT",Senior Care,"$600,000 - $2,000,000",02/03/2026,Connecticut assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.connecticutseniorcare.com,Procurement Director,procurement@connecticutseniorcare.com,(CT) Senior Care Purchasing,true,open,11/05/2025
Connecticut Retail Chain HQ - Janitorial Supply Contract,Connecticut Retail Chain HQ,"Hartford, CT",Retail,"$1,200,000 - $4,000,000",02/03/2026,Connecticut retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.connecticutretail.com,Corporate Procurement,procurement@connecticutretail.com,(CT) Retail Procurement,true,open,11/05/2025
Connecticut Manufacturing Plant - Janitorial Supply Contract,Connecticut Manufacturing Plant,"Hartford, CT",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Connecticut manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.connecticutmanufacturing.com,Operations Manager,operations@connecticutmfg.com,(CT) Plant Operations,true,open,11/05/2025
Delaware Facilities Management Department - Janitorial Supply Contract,Delaware Facilities Management Department,"Dover, DE",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Delaware Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.de.gov,Facilities Director,facilities@dgs.de.gov,(DE) State Facilities Office,true,open,11/05/2025
Delaware Department of Education - Janitorial Supply Contract,Delaware Department of Education,"Dover, DE",Education,"$1,000,000 - $5,000,000",02/03/2026,"Delaware Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.de.gov,Procurement Services,procurement@education.de.gov,(DE) DOE Procurement,true,open,11/05/2025
Delaware University System - Janitorial Supply Contract,Delaware University System,"Dover, DE",Education,"$500,000 - $2,000,000",02/03/2026,Delaware government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.delaware.gov,Procurement Office,procurement@de.gov,(DE) State Procurement,true,open,11/05/2025
Delaware Healthcare Network - Janitorial Supply Contract,Delaware Healthcare Network,"Dover, DE",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Delaware healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.delawarehealthnetwork.org,Supply Chain Director,procurement@delawarehealth.org,(DE) Healthcare Procurement,true,open,11/05/2025
Delaware Hospitality Group - Janitorial Supply Contract,Delaware Hospitality Group,"Dover, DE",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Delaware hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.delawarehospitalitygroup.com,Procurement Manager,purchasing@delawarehotels.com,(DE) Hospitality Purchasing,true,open,11/05/2025
Delaware Commercial Properties - Janitorial Supply Contract,Delaware Commercial Properties,"Dover, DE",Real Estate,"$600,000 - $2,000,000",02/03/2026,Delaware commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.delawareproperties.com,Facilities Management,facilities@delawareproperties.com,(DE) Property Management,true,open,11/05/2025
Delaware Airport Authority - Janitorial Supply Contract,Delaware Airport Authority,"Dover, DE",Airport,"$750,000 - $2,500,000",02/03/2026,"Delaware airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.delawareairport.com,Facilities Procurement,procurement@delawareairport.com,(DE) Airport Operations,true,open,11/05/2025
Delaware Correctional Facilities - Janitorial Supply Contract,Delaware Correctional Facilities,"Dover, DE",Corrections,"$900,000 - $3,000,000",02/03/2026,Delaware Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.de.gov,Facilities Procurement,procurement@corrections.de.gov,(DE) DOC Procurement,true,open,11/05/2025
Delaware Port Authority - Janitorial Supply Contract,Delaware Port Authority,"Dover, DE",Port,"$500,000 - $1,800,000",02/03/2026,"Delaware port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.delawareport.com,Facilities Director,facilities@delawareport.com,(DE) Port Operations,true,open,11/05/2025
Delaware Senior Living & Care - Janitorial Supply Contract,Delaware Senior Living & Care,"Dover, DE",Senior Care,"$600,000 - $2,000,000",02/03/2026,Delaware assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.delawareseniorcare.com,Procurement Director,procurement@delawareseniorcare.com,(DE) Senior Care Purchasing,true,open,11/05/2025
Delaware Retail Chain HQ - Janitorial Supply Contract,Delaware Retail Chain HQ,"Dover, DE",Retail,"$1,200,000 - $4,000,000",02/03/2026,Delaware retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.delawareretail.com,Corporate Procurement,procurement@delawareretail.com,(DE) Retail Procurement,true,open,11/05/2025
Delaware Manufacturing Plant - Janitorial Supply Contract,Delaware Manufacturing Plant,"Dover, DE",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Delaware manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.delawaremanufacturing.com,Operations Manager,operations@delawaremfg.com,(DE) Plant Operations,true,open,11/05/2025
Florida Facilities Management Department - Janitorial Supply Contract,Florida Facilities Management Department,"Tallahassee, FL",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Florida Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.fl.gov,Facilities Director,facilities@dgs.fl.gov,(FL) State Facilities Office,true,open,11/05/2025
Florida Department of Education - Janitorial Supply Contract,Florida Department of Education,"Tallahassee, FL",Education,"$1,000,000 - $5,000,000",02/03/2026,"Florida Department of Education oversees K-12 school districts. Centralized procurement for janitorial supplies, cleaning products, and sanitation equipment for all public schools.",https://www.education.fl.gov,Procurement Services,procurement@education.fl.gov,(FL) DOE Procurement,true,open,11/05/2025
Florida University System - Janitorial Supply Contract,Florida University System,"Tallahassee, FL",Education,"$500,000 - $2,000,000",02/03/2026,Florida government or private entity purchasing cleaning supplies and facility maintenance products.,https://www.florida.gov,Procurement Office,procurement@fl.gov,(FL) State Procurement,true,open,11/05/2025
Florida Healthcare Network - Janitorial Supply Contract,Florida Healthcare Network,"Tallahassee, FL",Healthcare,"$1,500,000 - $5,000,000",02/03/2026,"Florida healthcare network purchasing medical-grade cleaning supplies, disinfectants, and sanitation products for hospitals and clinics statewide.",https://www.floridahealthnetwork.org,Supply Chain Director,procurement@floridahealth.org,(FL) Healthcare Procurement,true,open,11/05/2025
Florida Hospitality Group - Janitorial Supply Contract,Florida Hospitality Group,"Tallahassee, FL",Hospitality,"$400,000 - $1,500,000",02/03/2026,"Florida hotel and resort group. Procures housekeeping supplies, cleaning chemicals, and sanitation products for multiple properties.",https://www.floridahospitalitygroup.com,Procurement Manager,purchasing@floridahotels.com,(FL) Hospitality Purchasing,true,open,11/05/2025
Florida Commercial Properties - Janitorial Supply Contract,Florida Commercial Properties,"Tallahassee, FL",Real Estate,"$600,000 - $2,000,000",02/03/2026,Florida commercial property management company managing office and retail buildings. Contracts for janitorial supplies and facility maintenance products.,https://www.floridaproperties.com,Facilities Management,facilities@floridaproperties.com,(FL) Property Management,true,open,11/05/2025
Florida Airport Authority - Janitorial Supply Contract,Florida Airport Authority,"Tallahassee, FL",Airport,"$750,000 - $2,500,000",02/03/2026,"Florida airport authority managing terminal cleaning and maintenance. Purchases floor care, restroom supplies, and industrial cleaning equipment.",https://www.floridaairport.com,Facilities Procurement,procurement@floridaairport.com,(FL) Airport Operations,true,open,11/05/2025
Florida Correctional Facilities - Janitorial Supply Contract,Florida Correctional Facilities,"Tallahassee, FL",Corrections,"$900,000 - $3,000,000",02/03/2026,Florida Department of Corrections facilities maintenance. Handles procurement for institutional cleaning supplies and sanitation products.,https://corrections.fl.gov,Facilities Procurement,procurement@corrections.fl.gov,(FL) DOC Procurement,true,open,11/05/2025
Florida Port Authority - Janitorial Supply Contract,Florida Port Authority,"Tallahassee, FL",Port,"$500,000 - $1,800,000",02/03/2026,"Florida port authority purchasing cleaning supplies for terminals, warehouses, and maritime facilities.",https://www.floridaport.com,Facilities Director,facilities@floridaport.com,(FL) Port Operations,true,open,11/05/2025
Florida Senior Living & Care - Janitorial Supply Contract,Florida Senior Living & Care,"Tallahassee, FL",Senior Care,"$600,000 - $2,000,000",02/03/2026,Florida assisted living centers managing janitorial and sanitation contracts for senior care facilities.,https://www.floridaseniorcare.com,Procurement Director,procurement@floridaseniorcare.com,(FL) Senior Care Purchasing,true,open,11/05/2025
Florida Retail Chain HQ - Janitorial Supply Contract,Florida Retail Chain HQ,"Tallahassee, FL",Retail,"$1,200,000 - $4,000,000",02/03/2026,Florida retail headquarters managing multi-location janitorial supply contracts for stores across the state.,https://www.floridaretail.com,Corporate Procurement,procurement@floridaretail.com,(FL) Retail Procurement,true,open,11/05/2025
Florida Manufacturing Plant - Janitorial Supply Contract,Florida Manufacturing Plant,"Tallahassee, FL",Manufacturing,"$800,000 - $2,500,000",02/03/2026,Florida manufacturing plant managing industrial cleaning supplies and sanitation needs for production facilities.,https://www.floridamanufacturing.com,Operations Manager,operations@floridamfg.com,(FL) Plant Operations,true,open,11/05/2025
Georgia Facilities Management Department - Janitorial Supply Contract,Georgia Facilities Management Department,"Atlanta, GA",Facilities Management,"$500,000 - $2,000,000",02/03/2026,"Georgia Department of General Services - Facilities Management Division. Handles statewide procurement for cleaning supplies, janitorial services, and facility maintenance products.",https://dgs.ga.gov,Facilities Director,facilities@dgs.ga.gov,(GA) State Facilities Office,true,open,11/05/2025
